Country,Happiness Rank,Happiness Score,GDP per Capita,Health (Life Expectancy),Freedom,Trust (Government Corruption),Year
Norway,1,7.594444821,1.53352356,0.635422587,0.362012237,2.277026653,2017
Denmark,2,7.581728065,1.551121593,0.626006722,0.355280489,2.313707352,2017
Iceland,3,7.622030473,1.610574007,0.627162635,0.475540221,2.322715282,2017
Switzerland,4,7.56177242,1.516911745,0.620070577,0.290549278,2.276716232,2017
Finland,5,7.527542076,1.540246725,0.617950857,0.245482773,2.430181503,2017
Netherlands,6,7.427425841,1.428939223,0.585384488,0.47048983,2.294804096,2017
Canada,7,7.384402835,1.481348991,0.611100912,0.435539722,2.187264442,2017
New Zealand,8,7.379510442,1.548195124,0.61406213,0.500005126,2.046456337,2017
Sweden,9,7.344094877,1.478162169,0.612924099,0.385399252,2.097537994,2017
Australia,10,7.356651225,1.510041952,0.601607382,0.47769925,2.065210819,2017
Israel,11,7.279853256,1.376289964,0.405988604,0.330082655,2.801757336,2017
Costa Rica,12,7.168111666,1.416403651,0.58013165,0.214613229,2.898639202,2017
Austria,13,7.070669812,1.459944963,0.56776619,0.316472322,2.138506413,2017
United States,14,7.074656748,1.419920564,0.505740523,0.392578781,2.218113422,2017
Ireland,15,7.043351668,1.558231115,0.573110342,0.427858323,1.773869038,2017
Germany,16,7.005381569,1.472520351,0.562511384,0.33626917,2.015769958,2017
Belgium,17,6.95582075,1.462312698,0.539770722,0.231503338,2.124210358,2017
Luxembourg,18,6.9236861,1.457583666,0.596627891,0.283180982,1.619512081,2017
United Kingdom,19,6.783791761,1.49646008,0.508190036,0.492774159,1.704143524,2017
Chile,20,6.73925056,1.284024954,0.376895279,0.326662421,2.509585857,2017
United Arab Emirates,21,6.722047304,1.266410232,0.60834527,0.360941947,1.734703541,2017
Brazil,22,6.725469502,1.431306005,0.437453747,0.162349895,2.769267082,2017
Czech Republic,23,6.683862463,1.433885217,0.490946174,0.088106759,2.451861858,2017
Argentina,24,6.690085086,1.440451145,0.494519204,0.109457061,2.614005327,2017
